SEQ_ID,Castration-resistent_Met,Castration-resistent_nonMet,Met,Newly_diagnosed,Normal_male_controls,PSA-recurrent_nonMet
1284_MGP_4256,1,0,1,1,0,1
1285_MICAL2_9645,21,7,7,6,5,23
1286_BCL6_604,12,4,8,6,7,20
1287_MYO6_4646,27,13,12,12,11,31
1288_COPS3_8533,9,2,2,4,5,13
1289_MSH6_2956,19,6,8,8,11,22
129_NBPF3_84224,11,2,5,7,6,16
1290_TARP_445347,3,1,0,1,3,9
1291_C19orf79_100131801,4,1,1,3,1,7
1292_RAN_5901,3,4,2,1,5,13
1293_AMACR_23600,10,0,5,2,6,13
1294_CAPRIN1_4076,13,7,9,11,10,26
1295_MIEN1_84299,6,0,3,2,2,2
1296_EXOC7_23265,13,7,7,7,4,18
1297_NRD1_4898,24,7,8,12,12,32
1298_MYO19_80179,14,5,5,5,4,14
1299_SYPL1_6856,4,1,1,4,2,7
13_H3F3A_3020,1,1,0,1,1,1
130_HLA-C_3107,5,1,3,3,2,8
1300_C19orf56_51398,1,0,2,1,0,1
1301_PAICS_10606,7,5,3,5,6,11
1302_NUCB2_4925,19,4,7,5,12,25
1303_RUFY1_80230,22,9,12,9,6,27
1304_KLK3_354,4,0,2,0,1,3
1305_PSMD1_5707,18,8,8,8,6,17
1306_SLC38A1_81539,11,2,5,5,6,7
1307_TSG101_7251,13,6,8,5,5,17
1308_DPM1_8813,1,0,0,3,2,4
1309_RAB3IP_117177,8,5,5,3,3,15
131_POM121_9883,5,2,1,2,2,5
1310_TADA3_10474,9,7,7,10,7,23
1311_TBC1D14_57533,15,8,5,4,7,22
1312_TAB2_23118,16,5,5,10,7,22
1313_GLRX5_51218,29,8,13,16,14,36
1314_RCN1_5954,19,6,9,11,6,24
1316_DNAJB1_3337,11,4,6,10,8,22
1317_MYC_4609,9,1,2,6,4,12
1318_GANAB_23193,9,6,5,7,3,15
1319_ARL6IP5_10550,1,1,0,1,0,3
132_RPL21_6144,3,1,0,0,1,4
1320_FARSB_10056,13,3,2,8,7,20
1321_MLLT4_4301,28,12,12,17,12,39
1322_NIT2_56954,5,2,2,4,2,10
1323_LBH_81606,4,0,4,0,4,2
1324_KIAA1430_57587,23,8,4,5,6,20
1325_KIAA1324_57535,15,3,5,6,4,17
1326_PPP1CC_5501,7,1,1,1,2,8
1327_SELENBP1_8991,8,2,0,4,6,11
1328_MT1L_4500,0,0,0,0,0,0
1329_HMOX1_3162,9,2,2,1,5,15
133_UQCRQ_27089,2,1,0,0,0,2
1330_PDIA4_9601,23,9,9,8,9,32
1331_SDF4_51150,22,11,10,10,6,24
1332_IP6K2_51447,9,5,4,2,3,14
1333_TMCO3_55002,20,4,6,9,8,13
1334_HGSNAT_138050,8,3,3,4,3,10
1335_KTN1_3895,28,10,12,9,10,35
1336_RAB18_22931,6,2,2,1,4,8
1337_SIDT2_51092,19,2,3,6,5,18
1338_TOP1MT_116447,15,5,4,6,7,11
1339_RNASET2_8635,7,2,3,3,2,7
134_CD99_4267,3,1,0,1,1,6
1340_VSIG10L_147645,10,2,6,7,6,13
1341_RABAC1_10567,10,4,4,3,1,8
1342_ISCA2_122961,3,0,0,0,5,6
1343_DAAM1_23002,27,9,14,10,8,28
1344_SEC31A_22872,24,9,9,10,8,33
1345_ENOSF1_55556,6,2,4,1,2,9
1346_HBXIP_10542,5,0,1,1,1,5
1347_ARL2BP_23568,13,9,5,6,5,15
1348_ARFIP1_27236,11,3,3,6,5,12
1349_NMT1_4836,14,6,2,9,8,20
135_TRMT112_51504,5,0,2,0,2,3
1350_MDH1_4190,8,3,3,4,3,7
1351_NAA38_51691,2,0,1,0,2,1
1352_THOC4_10189,17,6,10,5,10,22
1353_LAS1L_81887,15,6,7,10,3,17
1354_SET_6418,13,5,5,4,4,13
1355_SIVA1_10572,3,0,0,2,2,1
1356_MT1H_4496,0,0,0,1,0,0
1357_BZW1_9689,17,6,4,8,2,18
1358_TOM1L2_146691,15,5,6,7,10,15
1359_SP3_6670,26,11,8,11,14,33
136_RPL17_6139,1,1,0,1,0,3
1360_DCAF13_25879,12,2,4,7,4,15
1361_IARS_3376,16,6,8,7,7,25
1362_ADD1_118,20,6,7,4,9,23
1363_LEF1_51176,11,5,5,7,5,16
1364_DHCR7_1717,4,2,2,1,2,5
1365_RAB5A_5868,6,3,1,5,2,9
1366_YIPF1_54432,5,0,1,2,1,2
1367_KIF13B_23303,25,10,13,14,14,32
1368_VEZF1_7716,14,4,4,7,6,14
1369_JUNB_3726,31,13,14,16,16,43
137_RPL14_9045,0,1,1,3,1,6
1370_GOLPH3_64083,15,3,6,5,5,18
1371_FBXL5_26234,17,7,10,6,11,28
1372_TPD52L1_7164,5,0,1,4,2,8
1373_TPM3_7170,11,3,6,6,7,16
1374_PSMA6_5687,9,2,2,5,4,5
1375_ARID4B_51742,30,12,15,17,16,37
1376_MORF4L2_9643,12,2,3,4,5,14
1377_TRIM2_23321,24,8,9,12,6,29
1378_CHD7_55636,31,11,15,17,12,38
1379_KPNA4_3840,14,6,6,7,5,16
138_RPL37_6167,0,1,0,1,0,1
1380_PSMD3_5709,12,3,4,8,5,8
1381_ARPC5L_81873,6,2,1,5,2,9
1382_PGC_5225,6,2,5,5,6,11
1383_SYNCRIP_10492,15,6,6,10,8,20
1384_GRB2_2885,10,2,3,4,1,7
1385_ITGB1_3688,17,8,4,7,7,24
1386_RALGAPA2_57186,25,7,11,11,11,40
1387_RPA1_6117,22,7,4,13,9,21
1388_RBBP4_5928,12,5,6,8,6,20
1389_NDUFS6_4726,4,0,3,2,2,6
139_BBS5_129880,14,4,7,4,7,11
1390_BEX2_84707,3,1,3,2,2,3
1391_PDIA5_10954,15,2,5,8,7,17
1392_C20orf108_116151,1,1,0,2,1,3
1393_PSMB7_5695,6,0,1,0,1,9
1394_PCGF3_10336,6,3,3,6,2,10
1395_CCT6A_908,12,7,6,6,5,18
1396_HIST2H2AB_317772,3,1,0,0,0,3
1397_SAR1B_51128,3,2,0,1,0,3
1398_BANP_54971,13,5,4,5,3,13
1399_PSCA_8000,1,0,1,0,1,1
14_UBOX5_22888,12,3,2,7,2,15
140_HSPE1_3336,3,1,1,3,0,6
1400_FOXJ3_22887,15,2,6,7,5,18
1401_NDUFA13_51079,6,1,2,1,1,3
1402_A2M_2,19,7,7,7,10,19
1403_HGS_9146,22,5,8,12,10,32
1404_DPYSL3_1809,24,7,9,10,8,23
1405_ATXN2_6311,31,10,12,15,16,38
1406_CCDC85C_317762,32,9,14,16,13,45
1407_FXR1_8087,17,4,10,9,7,16
1408_ESRP2_80004,10,2,4,4,7,15
1409_MAP2K3_5606,16,5,6,11,9,23
141_CAMKK2_10645,8,3,7,4,8,14
1410_MAGOHB_55110,4,2,2,2,3,10
1411_MAFG_4097,4,2,2,3,0,7
1412_KLHDC9_126823,0,0,0,0,3,1
1413_PSMD7_5713,15,2,6,9,6,17
1414_PPP6C_5537,4,1,3,5,5,10
1415_PFDN2_5202,5,0,2,4,6,14
1416_NAAA_27163,3,0,4,5,4,7
1417_XRN1_54464,25,9,15,14,15,34
1418_YBX1_4904,16,2,7,11,9,26
1419_TBL1XR1_79718,18,5,8,7,10,16
142_RPL13_6137,0,1,0,2,0,4
1420_TCF3_6929,21,4,12,10,9,26
1421_DUSP12_11266,18,4,3,5,7,16
1422_CADM1_23705,11,3,5,4,3,13
1423_CHCHD7_79145,3,0,3,1,6,7
1424_ITPRIPL2_162073,5,0,2,2,4,6
1425_SSRP1_6749,16,6,5,8,6,17
1426_FAM164A_51101,11,3,6,5,6,12
1427_PFKM_5213,15,5,7,8,5,14
1428_MRPS14_63931,1,1,1,0,1,2
1429_FRMD8_83786,3,1,1,2,3,4
143_STX16_8675,7,4,1,4,5,13
1430_DLD_1738,11,4,4,7,9,14
1431_ZNF462_58499,32,12,15,17,14,35
1433_SASH1_23328,31,8,12,13,11,30
1434_PKN2_5586,25,10,13,11,11,37
144_SPON2_10417,8,2,3,2,4,10
145_IGFBP7_3490,13,2,4,8,10,15
146_SMPD4_55627,17,4,7,7,9,11
147_RPL36_25873,1,1,0,2,0,1
148_PERP_64065,2,1,2,1,1,3
149_RPS11_6205,6,1,0,0,1,8
1490_LGALS3_3958,13,1,4,6,7,17
15_NDRG1_10397,11,5,2,3,6,11
150_YWHAG_7532,12,0,1,5,2,7
151_ILDR1_286676,15,3,9,7,7,22
152_FAM162A_26355,2,2,3,2,0,4
153_C1orf198_84886,17,2,10,9,5,20
154_SYNGR2_9144,10,1,4,8,5,13
155_C11orf75_56935,0,1,0,2,0,0
156_ARF1_375,3,1,2,2,4,8
157_RPS13_6207,3,0,1,1,2,3
158_NUPR1_26471,8,1,1,2,3,8
159_MGST2_4258,0,1,0,0,1,2
16_ORAI1_84876,5,2,2,4,3,7
160_DUSP1_1843,8,0,3,0,3,9
161_CDK2AP1_8099,6,1,2,3,5,7
162_CEBPD_1052,10,4,1,4,3,12
163_ATP13A3_79572,19,6,8,9,8,19
164_UBC_7316,2,1,2,1,0,2
165_LSM14A_26065,25,6,6,8,8,20
166_RPS17_6218,0,0,1,1,2,3
167_ATP5E_514,9,1,2,1,0,4
168_C16orf53_79447,2,1,1,2,1,5
169_OAZ1_4946,9,1,4,1,2,7
17_CYTB_4519,3,2,2,2,2,7
170_C15orf63_25764,2,1,2,3,1,5
171_NDUFA1_4694,2,0,0,0,0,0
172_GOLGA6L9_440295,10,3,6,6,6,14
173_NME2_4831,3,0,0,1,0,5
174_YWHAZ_7534,12,3,1,7,4,10
175_IRF2BP2_359948,14,7,3,5,5,18
176_ORC6_23594,7,3,2,2,4,10
177_RPL10A_4736,2,3,0,1,2,6
178_ZC3H11A_9877,13,3,6,5,5,19
179_ATF4_468,13,2,3,7,6,14
18_RPL18_6141,0,1,0,1,1,3
180_GLTSCR2_29997,7,2,6,3,7,17
181_ATP5L_10632,6,3,3,2,3,7
182_PRNP_5621,18,4,7,7,5,21
183_CD24_100133941,9,1,1,3,5,6
184_CHCHD2_51142,9,2,3,3,3,8
185_NGFRAP1_27018,2,0,0,0,1,2
186_PSMB1_5689,6,1,2,1,1,8
187_INE1_8552,1,2,0,0,1,1
189_SPINT2_10653,3,2,0,0,1,4
19_NPIP_9284,1,3,0,3,1,4
190_ND5_4540,6,0,3,2,5,9
191_CMTM6_54918,6,0,0,2,0,5
192_NPY_4852,6,2,1,0,2,4
193_ATP6_4508,13,4,9,5,5,12
194_ATP6V0C_527,6,0,0,1,0,3
195_NDUFB9_4715,2,1,3,1,4,5
196_HNRNPM_4670,22,8,8,7,11,32
197_GGCT_79017,10,3,3,3,3,11
198_ATP9A_10079,15,5,8,6,3,16
199_MAEA_10296,13,3,7,4,5,18
2_AR_367,32,12,12,13,15,39
20_DBI_1622,4,1,0,1,2,3
200_BRI3_25798,0,0,0,0,1,1
201_TPD52_7163,12,6,4,10,7,13
202_NACA_4666,34,14,14,17,17,42
203_TMEM87A_25963,7,3,6,7,4,10
204_SEC11C_90701,15,6,6,8,5,18
205_HSPB1_3315,2,0,1,0,0,0
206_DAZAP2_9802,11,1,3,6,4,9
207_FAU_2197,1,1,2,0,1,3
208_TBCA_6902,8,1,4,4,1,2
209_RPL41_6171,0,3,0,0,0,2
21_GTF2I_2969,20,6,9,10,10,19
210_POTEG_404785,11,3,3,5,6,10
211_RPS15_6209,2,2,1,3,4,9
212_ZRANB2_9406,19,5,9,8,4,20
213_HMGN2P46_283651,1,1,0,2,2,7
214_UQCRB_7381,4,2,0,4,4,10
215_ATP6V1G1_9550,3,0,1,1,0,7
216_WDR6_11180,24,7,6,9,2,21
217_CD63_967,4,1,2,0,0,5
218_CHKA_1119,7,1,3,3,3,12
219_RPL36AL_6166,2,2,0,1,1,2
22_EXOC3L2_90332,2,1,1,3,3,5
220_KHSRP_8570,33,12,15,16,17,44
221_BACE2_25825,9,1,6,3,3,10
222_ACSS1_84532,8,1,5,1,2,11
224_RPL23A_6147,1,2,0,4,1,7
225_COX5B_1329,0,1,0,2,1,1
226_RPS19_6223,4,2,3,2,0,8
2261_KLK2_3817,6,1,1,1,6,11
227_C20orf3_57136,9,1,3,1,3,5
228_PSME2_5721,6,0,3,1,3,5
229_SOD1_6647,12,2,2,3,3,9
23_ND2_4536,9,2,4,2,0,8
230_RPS26_6231,2,1,2,0,1,2
231_B4GALT1_2683,6,0,0,1,1,8
232_ACPP_55,10,1,3,2,0,2
233_COX7A2_1347,2,0,1,0,0,2
234_ARPC3_10094,11,3,2,6,4,4
235_ATP2C1_27032,16,1,6,6,5,15
238_CASC3_22794,24,7,11,14,11,30
239_DDR1_780,12,3,9,10,4,22
24_ATP5G2_517,8,3,1,6,1,5
240_USP11_8237,15,6,4,10,5,20
241_RAB3D_9545,4,1,3,2,5,6
242_HMGB2_3148,8,5,2,3,4,12
243_NFKBIA_4792,4,0,1,3,1,6
244_RPL7_6129,5,5,1,6,0,8
245_HNRNPC_3183,11,6,6,8,4,12
246_NDUFB4_4710,3,0,1,2,1,8
